Date,Price,Open,High,Low,Vol.,Change %,MA10,MA50,MA200,RSI,MOM_S,VOL_T,T_OSC,BPI,BRI,SENT_S
2022-12-09,17125.7,17225.6,17288.6,17082.1,260839.99999999997,-0.58,17125.7,17125.7,17125.7,,0.0,206.5,0.0,4467.067588,0,0.0
2022-12-10,17127.2,17125.7,17220.5,17105.7,148810.0,0.01,17126.45,17126.45,17126.45,100.0,0.0,160.64999999999964,0.0,2548.698632,0,0.0
2022-12-11,17093.3,17127.0,17262.9,17080.6,167200.0,-0.2,17115.399999999998,17115.399999999998,17115.399999999998,4.237288135593047,0.0,167.86666666666738,0.0,2857.99976,0,0.0
2022-12-12,17210.4,17093.2,17232.5,16878.5,249390.0,0.68,17139.15,17139.15,17139.15,77.77049180327826,0.0,214.40000000000055,0.0,4292.101656000001,0,0.0
2022-12-13,17778.6,17210.9,17951.6,17094.5,328710.0,3.3,17267.04,17267.04,17267.04,95.2962397668931,0.0,342.94000000000017,0.0,5844.003605999999,0,0.0
2022-12-14,17796.4,17778.6,18351.8,17682.1,318980.0,0.1,17355.266666666666,17355.266666666666,17355.266666666666,95.40961408259969,670.7000000000007,435.58000000000027,0.0,5676.695672,0,0.0
2022-12-15,17356.1,17796.4,17846.1,17298.2,263440.0,-2.47,17355.385714285712,17355.385714285712,17355.385714285712,59.77265015269751,228.89999999999782,522.2,0.0,4572.290984,0,0.0
2022-12-16,16629.6,17356.7,17518.5,16542.4,303560.0,-4.19,17264.6625,17264.6625,17264.6625,36.98105285256913,-463.7000000000007,680.9599999999991,0.0,5048.081376,0,0.0
2022-12-17,16777.1,16629.0,16794.4,16587.0,164490.0,0.89,17210.48888888889,17210.48888888889,17210.48888888889,41.50915822291501,-433.3000000000029,651.6399999999994,0.0,2759.6651789999996,0,0.0
2022-12-18,16741.1,16777.0,16825.7,16666.5,124290.0,-0.21,17163.55,17163.55,17163.55,40.79375718115662,-1037.5,512.0599999999998,0.0,2080.751319,0,0.0
2022-12-19,16441.3,16741.1,16809.5,16331.2,207930.0,-1.79,17095.109999999997,17097.890909090907,17097.890909090907,35.673616344302104,-1355.1000000000022,473.7799999999996,-2.780909090910427,3418.639509,0,0.0
